Startpoint,Data_Arrival_Time,Data_Required_Time,Slack,Status,Port_Name,Port_Delay,Library_Setup_Time
axis_in_tdata[46],0.106,1.939,1.833,MET,axis_in_tdata[46],0.005,-0.041
axis_in_tdata[52],0.106,1.939,1.833,MET,axis_in_tdata[52],0.005,-0.041
axis_in_tdata[47],0.106,1.939,1.833,MET,axis_in_tdata[47],0.005,-0.041
axis_in_tdata[151],0.114,1.947,1.833,MET,axis_in_tdata[151],0.013,-0.033
axis_in_tdata[151],0.114,1.947,1.833,MET,axis_in_tdata[151],0.013,-0.033
axis_in_tdata[51],0.106,1.939,1.833,MET,axis_in_tdata[51],0.005,-0.041
axis_in_tdata[128],0.114,1.947,1.833,MET,axis_in_tdata[128],0.013,-0.033
axis_in_tdata[128],0.114,1.947,1.833,MET,axis_in_tdata[128],0.013,-0.033
axis_in_tdata[108],0.106,1.939,1.833,MET,axis_in_tdata[108],0.005,-0.041
axis_in_tdata[34],0.106,1.939,1.833,MET,axis_in_tdata[34],0.005,-0.041
axis_in_tdata[128],0.114,1.947,1.833,MET,axis_in_tdata[128],0.013,-0.033
axis_in_tdata[54],0.106,1.939,1.833,MET,axis_in_tdata[54],0.005,-0.041
axis_in_tdata[128],0.113,1.947,1.833,MET,axis_in_tdata[128],0.013,-0.033
axis_in_tdata[151],0.113,1.947,1.833,MET,axis_in_tdata[151],0.013,-0.033
axis_in_tdata[44],0.105,1.939,1.833,MET,axis_in_tdata[44],0.005,-0.041
axis_in_tdata[63],0.105,1.939,1.833,MET,axis_in_tdata[63],0.005,-0.041
axis_in_tdata[149],0.113,1.947,1.833,MET,axis_in_tdata[149],0.012,-0.033
axis_in_tdata[58],0.105,1.939,1.833,MET,axis_in_tdata[58],0.005,-0.041
axis_in_tdata[149],0.113,1.947,1.833,MET,axis_in_tdata[149],0.012,-0.033
axis_in_tdata[148],0.113,1.947,1.834,MET,axis_in_tdata[148],0.013,-0.033
axis_in_tdata[114],0.113,1.947,1.834,MET,axis_in_tdata[114],0.012,-0.033
axis_in_tdata[151],0.113,1.947,1.834,MET,axis_in_tdata[151],0.013,-0.033
axis_in_tdata[148],0.113,1.947,1.834,MET,axis_in_tdata[148],0.013,-0.033
axis_in_tdata[40],0.105,1.939,1.834,MET,axis_in_tdata[40],0.005,-0.041
axis_in_tdata[114],0.113,1.947,1.834,MET,axis_in_tdata[114],0.012,-0.033
axis_in_tdata[148],0.113,1.947,1.834,MET,axis_in_tdata[148],0.013,-0.033
axis_in_tdata[41],0.105,1.939,1.834,MET,axis_in_tdata[41],0.004,-0.041
axis_in_tdata[148],0.113,1.947,1.834,MET,axis_in_tdata[148],0.013,-0.033
axis_in_tdata[114],0.113,1.947,1.834,MET,axis_in_tdata[114],0.012,-0.033
axis_in_tdata[149],0.113,1.947,1.834,MET,axis_in_tdata[149],0.012,-0.033
axis_in_tdata[149],0.113,1.947,1.834,MET,axis_in_tdata[149],0.012,-0.033
axis_in_tdata[114],0.113,1.947,1.834,MET,axis_in_tdata[114],0.012,-0.033
axis_in_tdata[119],0.105,1.939,1.834,MET,axis_in_tdata[119],0.004,-0.041
axis_in_tdata[132],0.113,1.947,1.834,MET,axis_in_tdata[132],0.012,-0.033
axis_in_tdata[152],0.113,1.947,1.834,MET,axis_in_tdata[152],0.012,-0.033
axis_in_tdata[37],0.105,1.939,1.834,MET,axis_in_tdata[37],0.004,-0.041
axis_in_tdata[152],0.113,1.947,1.834,MET,axis_in_tdata[152],0.012,-0.033
axis_in_tdata[132],0.113,1.947,1.834,MET,axis_in_tdata[132],0.012,-0.033
axis_in_tdata[152],0.113,1.947,1.834,MET,axis_in_tdata[152],0.012,-0.033
axis_in_tdata[150],0.113,1.947,1.834,MET,axis_in_tdata[150],0.012,-0.033
