Endpoint,Data Arrival Time (ns),Data Required Time (ns),Slack (ns),Status
channel_out_op[277],0.11,-0.08,0.19,MET
channel_out_op[289],0.11,-0.08,0.19,MET
channel_out_op[251],0.11,-0.08,0.19,MET
channel_out_op[273],0.11,-0.08,0.19,MET
channel_out_op[302],0.11,-0.08,0.19,MET
channel_out_op[253],0.11,-0.08,0.19,MET
channel_out_op[229],0.11,-0.08,0.19,MET
channel_out_op[1],0.11,-0.08,0.19,MET
channel_out_op[298],0.11,-0.08,0.19,MET
channel_out_op[290],0.11,-0.08,0.19,MET
channel_out_op[295],0.111,-0.08,0.191,MET
channel_out_op[64],0.111,-0.08,0.191,MET
channel_out_op[36],0.111,-0.08,0.191,MET
channel_out_op[62],0.111,-0.08,0.191,MET
channel_out_op[255],0.111,-0.08,0.191,MET
channel_out_op[93],0.111,-0.08,0.191,MET
channel_out_op[240],0.111,-0.08,0.191,MET
channel_out_op[254],0.111,-0.08,0.191,MET
channel_out_op[256],0.111,-0.08,0.191,MET
channel_out_op[16],0.112,-0.08,0.192,MET
channel_out_op[13],0.112,-0.08,0.192,MET
channel_out_op[274],0.112,-0.08,0.192,MET
channel_out_op[43],0.112,-0.08,0.192,MET
channel_out_op[12],0.112,-0.08,0.192,MET
channel_out_op[39],0.112,-0.08,0.192,MET
channel_out_op[33],0.112,-0.08,0.192,MET
channel_out_op[41],0.113,-0.08,0.193,MET
channel_out_op[6],0.113,-0.08,0.193,MET
channel_out_op[238],0.113,-0.08,0.193,MET
channel_out_op[24],0.113,-0.08,0.193,MET
channel_out_op[275],0.113,-0.08,0.193,MET
channel_out_op[21],0.113,-0.08,0.193,MET
channel_out_op[278],0.114,-0.08,0.194,MET
channel_out_op[47],0.114,-0.08,0.194,MET
channel_out_op[245],0.114,-0.08,0.194,MET
channel_out_op[46],0.114,-0.08,0.194,MET
channel_out_op[42],0.114,-0.08,0.194,MET
channel_out_op[330],0.114,-0.08,0.194,MET
channel_out_op[304],0.114,-0.08,0.194,MET
channel_out_op[37],0.115,-0.08,0.195,MET
channel_out_op[31],0.115,-0.08,0.195,MET
channel_out_op[300],0.115,-0.08,0.195,MET
channel_out_op[28],0.115,-0.08,0.195,MET
channel_out_op[22],0.115,-0.08,0.195,MET
channel_out_op[34],0.115,-0.08,0.195,MET
channel_out_op[276],0.115,-0.08,0.195,MET
channel_out_op[311],0.115,-0.08,0.195,MET
channel_out_op[35],0.115,-0.08,0.195,MET
channel_out_op[244],0.115,-0.08,0.195,MET
channel_out_op[338],0.116,-0.08,0.196,MET
channel_out_op[45],0.116,-0.08,0.196,MET
channel_out_op[7],0.116,-0.08,0.196,MET
channel_out_op[349],0.116,-0.08,0.196,MET
channel_out_op[317],0.116,-0.08,0.196,MET
channel_out_op[11],0.116,-0.08,0.196,MET
channel_out_op[14],0.117,-0.08,0.197,MET
channel_out_op[301],0.117,-0.08,0.197,MET
channel_out_op[324],0.117,-0.08,0.197,MET
channel_out_op[29],0.117,-0.08,0.197,MET
channel_out_op[341],0.117,-0.08,0.197,MET
channel_out_op[296],0.118,-0.08,0.198,MET
channel_out_op[297],0.118,-0.08,0.198,MET
channel_out_op[27],0.118,-0.08,0.198,MET
channel_out_op[15],0.118,-0.08,0.198,MET
flow_ctrl_out_ip[2],0.118,-0.08,0.198,MET
channel_out_op[20],0.118,-0.08,0.198,MET
channel_out_op[344],0.118,-0.08,0.198,MET
channel_out_op[342],0.118,-0.08,0.198,MET
channel_out_op[319],0.119,-0.08,0.199,MET
channel_out_op[18],0.119,-0.08,0.199,MET
channel_out_op[329],0.119,-0.08,0.199,MET
channel_out_op[25],0.119,-0.08,0.199,MET
channel_out_op[334],0.119,-0.08,0.199,MET
channel_out_op[309],0.119,-0.08,0.199,MET
channel_out_op[312],0.119,-0.08,0.199,MET
channel_out_op[336],0.119,-0.08,0.199,MET
channel_out_op[32],0.119,-0.08,0.199,MET
channel_out_op[26],0.119,-0.08,0.199,MET
channel_out_op[328],0.119,-0.08,0.199,MET
channel_out_op[303],0.119,-0.08,0.199,MET
channel_out_op[307],0.12,-0.08,0.2,MET
channel_out_op[30],0.12,-0.08,0.2,MET
flow_ctrl_out_ip[1],0.12,-0.08,0.2,MET
channel_out_op[347],0.12,-0.08,0.2,MET
channel_out_op[335],0.12,-0.08,0.2,MET
channel_out_op[313],0.12,-0.08,0.2,MET
channel_out_op[332],0.12,-0.08,0.2,MET
channel_out_op[331],0.12,-0.08,0.2,MET
channel_out_op[10],0.12,-0.08,0.2,MET
channel_out_op[320],0.121,-0.08,0.201,MET
channel_out_op[318],0.121,-0.08,0.201,MET
channel_out_op[323],0.121,-0.08,0.201,MET
channel_out_op[19],0.121,-0.08,0.201,MET
channel_out_op[9],0.121,-0.08,0.201,MET
channel_out_op[8],0.121,-0.08,0.201,MET
channel_out_op[299],0.121,-0.08,0.201,MET
channel_out_op[322],0.122,-0.08,0.202,MET
channel_out_op[308],0.122,-0.08,0.202,MET
channel_out_op[310],0.122,-0.08,0.202,MET
channel_out_op[321],0.122,-0.08,0.202,MET
channel_out_op[327],0.122,-0.08,0.202,MET
channel_out_op[314],0.122,-0.08,0.202,MET
channel_out_op[337],0.123,-0.08,0.203,MET
channel_out_op[17],0.123,-0.08,0.203,MET
channel_out_op[333],0.123,-0.08,0.203,MET
channel_out_op[316],0.123,-0.08,0.203,MET
channel_out_op[23],0.123,-0.08,0.203,MET
channel_out_op[339],0.124,-0.08,0.204,MET
channel_out_op[340],0.124,-0.08,0.204,MET
channel_out_op[325],0.124,-0.08,0.204,MET
channel_out_op[326],0.125,-0.08,0.205,MET
channel_out_op[348],0.125,-0.08,0.205,MET
channel_out_op[315],0.125,-0.08,0.205,MET
channel_out_op[305],0.125,-0.08,0.205,MET
flow_ctrl_out_ip[4],0.126,-0.08,0.206,MET
flow_ctrl_out_ip[5],0.127,-0.08,0.207,MET
flow_ctrl_out_ip[11],0.127,-0.08,0.207,MET
channel_out_op[343],0.127,-0.08,0.207,MET
channel_out_op[345],0.128,-0.08,0.208,MET
channel_out_op[346],0.128,-0.08,0.208,MET
channel_out_op[306],0.128,-0.08,0.208,MET
flow_ctrl_out_ip[10],0.128,-0.08,0.208,MET
flow_ctrl_out_ip[0],0.129,-0.08,0.209,MET
flow_ctrl_out_ip[3],0.134,-0.08,0.214,MET
flow_ctrl_out_ip[9],0.14,-0.08,0.22,MET
error,0.159,-0.08,0.239,MET
channel_out_op[210],0.167,-0.08,0.247,MET
channel_out_op[140],0.168,-0.08,0.248,MET
channel_out_op[70],0.174,-0.08,0.254,MET
channel_out_op[280],0.178,-0.08,0.258,MET
channel_out_op[0],0.192,-0.08,0.272,MET
flow_ctrl_out_ip[12],0.198,-0.08,0.278,MET
flow_ctrl_out_ip[8],0.247,-0.08,0.327,MET
flow_ctrl_out_ip[7],0.261,-0.08,0.341,MET
flow_ctrl_out_ip[6],0.264,-0.08,0.344,MET
