Endpoint,Startpoint,Data Arrival Time (ns),Data Required Time (ns),Slack (ns),Status,Path Cells,Cell Types
odata_0[23],rtr_wrap/oc_0/odata_reg_23_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_1[15],rtr_wrap/oc_1/odata_reg_15_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_3[16],rtr_wrap/oc_3/odata_reg_16_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_4[33],rtr_wrap/oc_4/odata_reg_33_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_3[8],rtr_wrap/oc_3/odata_reg_8_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_0[22],rtr_wrap/oc_0/odata_reg_22_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_0[10],rtr_wrap/oc_0/odata_reg_10_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_3[31],rtr_wrap/oc_3/odata_reg_31_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_4[13],rtr_wrap/oc_4/odata_reg_13_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_0[16],rtr_wrap/oc_0/odata_reg_16_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_4[30],rtr_wrap/oc_4/odata_reg_30_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_3[24],rtr_wrap/oc_3/odata_reg_24_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_1[7],rtr_wrap/oc_1/odata_reg_7_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_3[32],rtr_wrap/oc_3/odata_reg_32_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_3[26],rtr_wrap/oc_3/odata_reg_26_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_4[8],rtr_wrap/oc_4/odata_reg_8_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_2[3],rtr_wrap/oc_2/odata_reg_3_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_4[9],rtr_wrap/oc_4/odata_reg_9_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_3[27],rtr_wrap/oc_3/odata_reg_27_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_0[17],rtr_wrap/oc_0/odata_reg_17_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_1[10],rtr_wrap/oc_1/odata_reg_10_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_3[21],rtr_wrap/oc_3/odata_reg_21_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_1[27],rtr_wrap/oc_1/odata_reg_27_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_2[0],rtr_wrap/oc_2/odata_reg_0_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_1[13],rtr_wrap/oc_1/odata_reg_13_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_1[28],rtr_wrap/oc_1/odata_reg_28_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_1[5],rtr_wrap/oc_1/odata_reg_5_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_0[29],rtr_wrap/oc_0/odata_reg_29_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_0[12],rtr_wrap/oc_0/odata_reg_12_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_3[0],rtr_wrap/oc_3/odata_reg_0_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_1[25],rtr_wrap/oc_1/odata_reg_25_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_2[10],rtr_wrap/oc_2/odata_reg_10_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_1[17],rtr_wrap/oc_1/odata_reg_17_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_2[13],rtr_wrap/oc_2/odata_reg_13_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_3[9],rtr_wrap/oc_3/odata_reg_9_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_2[24],rtr_wrap/oc_2/odata_reg_24_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_4[32],rtr_wrap/oc_4/odata_reg_32_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_3[20],rtr_wrap/oc_3/odata_reg_20_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_1[19],rtr_wrap/oc_1/odata_reg_19_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_2[4],rtr_wrap/oc_2/odata_reg_4_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_2[11],rtr_wrap/oc_2/odata_reg_11_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_2[21],rtr_wrap/oc_2/odata_reg_21_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_2[20],rtr_wrap/oc_2/odata_reg_20_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_0[9],rtr_wrap/oc_0/odata_reg_9_,0.079,1.88,1.801,MET,2,SDFF_X1
ovalid_0,rtr_wrap/oc_0/ovalid_reg,0.079,1.88,1.801,MET,2,SDFF_X1
odata_3[30],rtr_wrap/oc_3/odata_reg_30_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_1[31],rtr_wrap/oc_1/odata_reg_31_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_3[19],rtr_wrap/oc_3/odata_reg_19_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_4[12],rtr_wrap/oc_4/odata_reg_12_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_0[11],rtr_wrap/oc_0/odata_reg_11_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_1[14],rtr_wrap/oc_1/odata_reg_14_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_0[30],rtr_wrap/oc_0/odata_reg_30_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_2[27],rtr_wrap/oc_2/odata_reg_27_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_0[14],rtr_wrap/oc_0/odata_reg_14_,0.079,1.88,1.801,MET,2,SDFF_X1
