Port,Port Number,Min Slack (ns),Avg Slack (ns),Max Slack (ns),Paths,Port Delay (ns)
channel_in_ip[-1],-1,0.086,0.08625,0.087,4,
channel_in_ip[-1],-1,0.086,0.0865,0.087,4,
channel_in_ip[-1],-1,0.086,0.08675,0.087,4,
channel_in_ip[-1],-1,0.087,0.087,0.087,4,
channel_in_ip[-1],-1,0.087,0.087,0.087,4,
channel_in_ip[-1],-1,0.087,0.087,0.087,4,
channel_in_ip[-1],-1,0.087,0.08725,0.088,4,
channel_in_ip[-1],-1,0.087,0.08725,0.088,4,
channel_in_ip[-1],-1,0.087,0.08725,0.088,4,
channel_in_ip[-1],-1,0.087,0.0875,0.088,4,
channel_in_ip[-1],-1,0.087,0.0875,0.088,4,
channel_in_ip[-1],-1,0.087,0.0875,0.088,4,
channel_in_ip[-1],-1,0.088,0.088,0.088,4,
channel_in_ip[-1],-1,0.088,0.088,0.088,4,
channel_in_ip[-1],-1,0.088,0.088,0.088,4,
channel_in_ip[-1],-1,0.088,0.08825,0.089,4,
channel_in_ip[-1],-1,0.088,0.0885,0.089,4,
channel_in_ip[-1],-1,0.088,0.08875,0.089,4,
channel_in_ip[-1],-1,0.089,0.089,0.089,4,
channel_in_ip[-1],-1,0.089,0.089,0.089,4,
channel_in_ip[-1],-1,0.089,0.089,0.089,4,
channel_in_ip[-1],-1,0.09,0.09,0.09,4,
channel_in_ip[-1],-1,0.09,0.09,0.09,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.207,0.2395,0.256,10,
channel_in_ip[-1],-1,0.208,0.2395,0.256,10,
channel_in_ip[-1],-1,0.214,0.24489999999999998,0.261,10,
channel_in_ip[-1],-1,0.216,0.2499,0.267,10,
channel_in_ip[-1],-1,0.217,0.4241463414634146,0.54,41,
channel_in_ip[-1],-1,0.082,0.08275,0.083,4,
